Pressure,CO2 Weld Flow,Feed,Primary Weld Current,Wire Consumed,Secondary Weld Voltage
0.16,11.93,17.8,268.85,533.93,17.33
0.16,11.93,17.73,270.8,549.67,17.51
0.19,11.96,18.31,271.71,567.54,17.68
0.19,11.96,18.79,269.53,582.62,17.53
0.19,11.92,19.31,270.94,598.69,17.43
0.19,11.9,19.79,275.69,613.44,17.63
0.19,11.89,20.21,275.19,626.56,17.95
0.19,11.91,20.72,277.05,642.3,17.64
0.19,11.91,21.2,274.6,657.05,18.5
0.19,11.94,21.72,274.09,673.44,18.02
0.19,11.93,21.47,280.33,687.05,18.36
0.15,11.91,21.98,295.85,703.28,18.19
0.15,11.91,22.37,216.36,715.9,18.12
0.15,11.89,22.75,39.25,727.87,33.97
0.15,11.88,22.86,0.0,731.64,0.0
0.15,11.87,22.94,0.0,733.93,0.0
0.15,11.87,22.98,0.0,735.41,0.0
0.15,11.86,22.99,0.0,735.74,0.0
0.15,11.88,23.01,0.0,736.23,0.0
0.15,11.88,22.31,0.0,736.39,0.0
0.18,11.89,22.31,0.0,736.39,0.0
0.18,11.9,22.31,0.0,736.39,0.0
0.18,11.89,22.31,0.0,736.39,0.0
0.18,11.88,22.31,0.0,736.39,0.0
0.18,11.85,22.31,0.0,736.39,0.0
0.18,11.85,22.31,0.0,736.39,0.0
0.18,11.83,22.31,0.0,736.39,0.0
0.18,11.81,22.31,0.0,736.39,0.0
0.18,11.76,21.66,0.0,736.39,0.0
0.9,11.64,21.66,0.0,736.39,0.0
0.9,11.49,21.66,0.0,736.39,0.0
0.9,11.24,21.66,0.0,736.39,0.0
0.9,11.0,21.66,0.0,736.39,0.0
0.9,10.56,21.66,0.0,736.39,0.0
0.9,10.2,21.66,0.0,736.39,0.0
0.9,9.75,21.66,0.0,736.39,0.0
0.9,9.26,21.66,0.0,736.39,0.0
0.9,8.73,21.04,0.0,736.39,0.0
1.5,8.16,21.04,0.0,736.39,0.0
1.5,7.6,21.04,0.0,736.39,0.0
1.5,6.99,21.04,0.0,736.39,0.0
1.5,6.53,21.04,0.0,736.39,0.0
1.5,5.93,21.04,0.0,736.39,0.0
1.5,5.47,21.04,0.0,736.39,0.0
1.5,4.94,21.04,0.0,736.39,0.0
1.5,4.52,21.04,0.0,736.39,0.0
1.5,4.07,20.46,0.0,736.39,0.0
1.77,3.73,20.46,0.0,736.39,0.0
1.77,3.39,20.46,0.0,736.39,0.0
1.77,3.05,20.46,0.0,736.39,0.0
1.77,2.8,20.46,0.0,736.39,0.0
1.77,0.0,20.46,0.0,736.39,0.0
1.77,-0.02,20.46,0.0,736.39,0.0
1.77,-0.03,20.46,0.0,736.39,0.0
1.77,-0.03,20.46,0.0,736.39,0.0
1.77,-0.01,19.9,0.0,736.39,0.0
1.78,-0.01,19.9,0.0,736.39,0.0
1.78,0.02,19.9,0.0,736.39,0.0
1.78,0.02,19.9,0.0,736.39,0.0
4.38,-0.01,0.02,0.0,0.98,0.0
4.38,0.01,0.02,0.0,1.15,0.0
4.38,0.0,0.02,0.0,1.15,0.0
4.38,0.01,0.02,0.0,1.15,0.0
4.38,-0.01,0.02,0.0,1.31,0.0
4.38,0.0,0.02,0.0,1.48,0.0
4.38,0.0,0.02,0.0,1.48,0.0
4.38,-0.02,0.02,0.0,1.48,0.0
4.38,0.02,0.02,0.0,1.48,0.0
4.38,-0.02,1.48,0.0,1.48,0.0
4.38,0.03,1.48,0.0,1.48,0.0
4.38,-0.03,1.48,0.0,1.48,0.0
4.38,0.01,1.48,0.0,1.48,0.0
4.38,0.0,1.48,0.0,1.48,0.0
4.38,0.03,1.48,0.0,1.48,0.0
4.38,0.0,1.48,0.0,1.48,0.0
4.38,-0.02,1.48,0.0,1.48,0.0
4.39,0.01,0.74,0.0,1.48,0.0
4.39,-0.01,0.74,0.0,1.48,0.0
4.39,-0.03,0.74,0.0,1.48,0.0
4.39,-0.01,0.74,0.0,1.48,0.0
4.39,0.0,0.74,0.0,1.48,0.0
4.39,0.01,0.74,0.0,1.48,0.0
4.39,0.01,0.74,0.0,1.48,0.0
4.39,0.02,0.74,0.0,1.48,0.0
4.39,0.0,0.74,0.0,1.48,0.0
4.4,0.01,0.49,0.0,1.48,0.0
4.4,-0.03,0.49,0.0,1.48,0.0
4.4,-0.02,0.49,0.0,1.48,0.0
4.4,0.0,0.49,0.0,1.48,0.0
4.4,0.0,0.49,0.0,1.48,0.0
4.4,-0.02,0.49,0.0,1.48,0.0
4.4,0.01,0.49,0.0,1.48,0.0
4.4,0.0,0.49,0.0,1.48,0.0
4.4,0.01,0.49,0.0,1.48,0.0
4.39,0.02,0.37,0.0,1.48,0.0
4.39,-0.03,0.37,0.0,1.48,0.0
4.39,0.0,0.37,0.0,1.48,0.0
4.39,0.02,0.37,0.0,1.48,0.0
4.39,-0.03,0.37,0.0,1.48,0.0
4.39,0.01,0.37,0.0,1.48,0.0
4.39,-0.01,0.37,0.0,1.48,0.0
4.39,-0.02,0.37,0.0,1.48,0.0
4.39,-0.02,0.3,2.01,1.48,0.03
4.39,-0.01,0.3,1.75,1.48,0.05
4.39,0.0,0.33,1.88,1.64,0.05
4.39,0.02,0.33,1.23,1.64,0.09
4.39,0.03,0.36,1.25,1.8,0.09
4.39,0.0,0.36,1.71,1.8,0.07
4.39,0.01,0.36,1.8,1.8,0.07
4.39,0.02,0.39,2.83,1.97,40.23
4.39,0.03,0.46,2.88,2.3,40.23
4.39,0.02,0.49,3.06,2.46,40.23
1.65,0.02,0.44,4.85,2.62,40.23
1.65,2.98,0.46,178.25,2.79,28.66
1.65,4.35,0.49,177.91,2.95,20.51
1.65,6.24,0.49,184.49,2.95,18.15
1.65,8.8,0.49,182.95,2.95,17.25
1.65,11.11,0.49,183.56,2.95,17.15
1.65,14.2,0.49,185.66,2.95,16.84
1.65,17.0,0.49,189.59,2.95,16.51
1.65,20.47,0.49,184.55,2.95,16.74
0.49,23.43,0.42,181.6,2.95,16.81
0.49,26.59,0.42,181.04,2.95,17.19
0.49,29.1,0.42,178.19,2.95,16.94
0.49,31.69,0.42,188.65,2.95,16.91
0.49,34.11,0.42,181.19,2.95,17.09
0.49,35.87,0.42,186.09,2.95,16.92
0.49,37.47,0.44,181.68,3.11,17.0
0.49,38.71,0.44,179.88,3.11,17.25
0.49,40.2,0.44,178.11,3.11,17.1
0.16,41.43,0.39,174.93,3.11,17.22
0.16,42.71,0.39,173.49,3.11,17.34
0.16,43.79,0.39,181.53,3.11,17.15
0.16,44.99,0.39,180.19,3.11,17.3
0.16,45.96,0.39,178.63,3.11,17.21
0.16,47.03,0.39,180.86,3.11,17.34
0.16,47.97,0.39,179.79,3.11,17.13
0.16,48.72,0.39,178.53,3.11,17.24
0.16,49.45,0.39,182.75,3.11,17.13
0.11,49.99,0.35,180.46,3.11,17.07
0.11,50.06,0.35,183.44,3.11,16.87
0.11,50.08,0.35,177.79,3.11,16.93
0.11,50.08,0.35,181.28,3.11,17.09
0.11,50.08,0.35,176.14,3.11,17.13
0.11,50.08,0.35,179.2,3.11,17.49
0.11,50.1,0.35,180.93,3.11,17.42
0.11,50.11,0.35,179.11,3.11,17.39
0.11,50.11,0.35,178.53,3.11,17.16
0.1,50.09,0.33,182.34,3.28,17.05
0.1,50.08,0.33,184.5,3.28,17.14
0.1,50.08,0.33,186.73,3.28,16.84
0.1,50.05,0.33,181.58,3.28,17.04
0.1,49.43,0.33,186.86,3.28,16.54
0.1,48.34,0.33,178.79,3.28,16.95
